scenario_name,release_time,release_lat,release_lon,predicted_lat,predicted_lon,distance_error_nm,predicted_drift_nm,actual_drift_nm,bearing_error_deg,accuracy_rating,total_score
Milwaukee_3nm_2100,2025-08-22 21:00,43.0389,-87.8389,44.186236260137356,-91.73387520538834,261.28536754578283,182.76948627017015,78.73819221321936,174.85030271911984,Poor,278.7703978176948
Milwaukee_2.5nm_2100,2025-08-22 21:00,43.0389,-87.856,44.186407868181696,-91.75100910414268,261.971768647408,182.77450763606308,79.3977277308184,175.1241575880996,Poor,279.48418440621793
Milwaukee_2nm_2100,2025-08-22 21:00,43.0389,-87.8731,44.186223550969146,-91.76801223600206,262.645216251859,182.7666808714717,80.05893520057222,175.38799845141165,Poor,280.18401609700015
Milwaukee_3nm_1900,2025-08-22 19:00,43.0389,-87.8389,44.18713615554107,-91.7836716370438,263.2902551075969,184.79458451425162,78.73819221321936,174.63013921916286,Poor,280.7532690295132
Milwaukee_2.5nm_1900,2025-08-22 19:00,43.0389,-87.856,44.18711845739412,-91.80046877388622,263.95987988706116,184.78200102209183,79.3977277308184,174.90224553723925,Poor,281.4501044407851
Milwaukee_2nm_1900,2025-08-22 19:00,43.0389,-87.8731,44.18706191824059,-91.81757251672096,264.641207812274,184.7809612368503,80.05893520057222,175.1678632792033,Poor,282.1579941401943
Milwaukee_3nm_2300,2025-08-22 23:00,43.0389,-87.8389,44.18022796492036,-91.68509959459611,259.20633645528994,180.67867005654503,78.73819221321936,174.97996017411424,Poor,282.70433247270137
Milwaukee_2.5nm_2300,2025-08-22 23:00,43.0389,-87.856,44.18033191741928,-91.7022325880077,259.89057814826634,180.682228538286,79.3977277308184,175.25264445407538,Poor,283.41584259367386
Milwaukee_2nm_2300,2025-08-22 23:00,43.0389,-87.8731,44.180227095480284,-91.71939472991232,260.57156595578164,180.6824769270981,80.05893520057222,175.51709773417548,Poor,284.1232757291992
Milwaukee_3nm_1700,2025-08-22 17:00,43.0389,-87.8389,44.19252538229457,-91.8490641078509,266.021253094461,187.54596217062883,78.73819221321936,174.42128370064057,Poor,289.463381464525
Milwaukee_2.5nm_1700,2025-08-22 17:00,43.0389,-87.856,44.19242719052185,-91.86622708270002,266.7046228741617,187.54646197982476,79.3977277308184,174.69030247402299,Poor,290.17365312156403
Milwaukee_2nm_1700,2025-08-22 17:00,43.0389,-87.8731,44.19261203298924,-91.88339259201716,267.3947552763049,187.5529536162935,80.05893520057222,174.95980705649993,Poor,290.8907359819549
